ROI,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
0,0.04425711275026343,0.0008581095801487686,0.0022825415420818125
1,0.060063224446786086,0.0013849799700328571,0.003643031904496684
2,0.11275026343519494,0.0013249567610587203,0.004877471262227805
3,0.08008429926238145,0.0021430508685580645,0.0037222652274542475
4,0.08640674394099052,0.0006046782533690805,0.002849870974984513
5,0.08429926238145416,0.0002867775539875418,0.0030598484468523776
6,0.08429926238145416,0.0015517111060721256,0.003350596917746988
7,0.07270811380400422,0.0002867775539875418,0.005465418141900539
8,0.040042149631190724,4.223855446328136e-05,0.001587919154689275
9,0.07165437302423604,0.0017317807329945355,0.006017440449448271
10,0.09062170706006321,0.0031967916483262417,0.006005705504120416
11,0.08851422550052686,0.0009070173800536207,0.0033268114307261837
12,0.060063224446786086,0.0010315099616296079,0.0018969179753337612
13,0.06743940990516333,0.00023786975408268975,0.0016469006082492025
14,0.08429926238145416,0.00035791617203096305,0.0030746639692441676
15,0.10010537407797682,0.0003712546629141046,0.00372942149286524
16,0.07165437302423604,0.0009670405890277574,0.004047488916597543
17,0.07060063224446786,0.0015783880878384087,0.00275810389725317
18,0.03371970495258166,0.00010226176343741802,0.0011584041374898847
19,0.053740779768177024,0.000846994171079484,0.0023714657496452475
20,0.0958904109589041,0.00042016246281895663,0.0037537604696296608
21,0.1095890410958904,0.0021741740139520614,0.005928422389261833
22,0.11591148577449946,0.003110091457585822,0.007926346911867731
23,0.05584826132771338,0.0014249954426822815,0.002178564829211653
24,0.06743940990516333,0.00016673113603926851,0.0019729080320707564
25,0.06954689146469968,0.0004268317082605274,0.0020022159462523633
26,0.05584826132771338,0.0001333849088314148,0.00112959200059086
27,0.07481559536354056,0.00011115409069284568,0.0024091903560746566
28,0.07903055848261327,0.0014427800971931368,0.003434589655139355
29,0.0821917808219178,8.447710892656271e-05,0.0025123459628707974
30,0.13487881981032665,0.0029722603851266936,0.007902904502771575
31,0.07903055848261327,4.89077999048521e-05,0.0025222665778580258
32,0.06533192834562697,0.00041793938100509974,0.0034515990360592915
33,0.09167544783983139,0.0008047556166162026,0.005594175998402138
34,0.040042149631190724,0.00045350869002681036,0.0013534833846816034
35,0.11696522655426764,0.0013205105974310066,0.005903251381990308
36,0.08008429926238145,0.001874057969081378,0.0027986776832826807
37,0.0410958904109589,0.00011782333613441642,0.004862530318549514
38,0.1643835616438356,0.0010492946161404632,0.03905880753749458
39,0.08535300316122234,0.0019674274052633683,0.004506478130719847
40,0.046364594309799785,0.0006713707077847879,0.0039326524168502115
41,0.040042149631190724,0.0005980090079275097,0.0012538121648378844
42,0.14541622760800843,0.0017695731238301033,0.03440229633389702
43,0.12118018967334035,0.0010337330434434648,0.005542388985601905
44,0.10115911485774498,0.0005802243534166544,0.017621206748834828
45,0.136986301369863,0.0013805338064051434,0.03301159018675866
46,0.014752370916754477,8.892327255427654e-06,0.0006528156407879052
47,0.17281348788198103,0.0029633680578712656,0.03551871805869405
48,0.09378292939936775,0.0006224629078799358,0.01993533964454068
49,0.15595363540569018,0.00038014699016953224,0.035692097878597076
50,0.16859852476290832,0.004210516955444994,0.036141881716575903
51,0.16965226554267648,0.0012893874520370097,0.03638231368150552
52,0.08429926238145416,7.336169985727815e-05,0.018982086430928278
53,0.0874604847207587,0.0009581482617723298,0.01609905974177819
54,0.07270811380400422,0.0004801856717930933,0.012322280402466121
55,0.0874604847207587,0.00040015472649424443,0.018910991994208464
56,0.12223393045310853,0.0007758555530360628,0.027329732124716146
57,0.04952581664910432,0.00023564667226883283,0.0031416303644883673
58,0.12434141201264488,0.001491687897097989,0.005452255907603663
59,0.11485774499473128,0.0008114248620577734,0.020829093133752235
60,0.06322444678609061,0.00018006962692241,0.012787555398879375
61,0.09905163329820864,0.003136768439352105,0.0035443406708495647
62,0.03582718651211802,0.0003490238447755354,0.0023976231435754065
63,0.05163329820864067,7.780786348499197e-05,0.006661080739450326
64,0.12012644889357217,0.003494684611383068,0.00813275575032759
65,0.10642781875658587,0.0019474196689386564,0.018912322098911062
66,0.13804004214963117,0.0015606034333275533,0.025017473008403172
67,0.13171759747102213,0.0016739806058342559,0.0265679696793565
68,0.11696522655426764,0.0018184809237349552,0.02502456549516759
69,0.0073761854583772385,0.0,0.0003026151031146193
70,0.07481559536354056,0.0009848252435386126,0.005601943626754726
71,0.18651211801896733,0.00105151769795432,0.04393192685309507
72,0.14014752370916753,0.0019451965871247992,0.02899187432170902
73,0.09062170706006321,0.0011693410340887366,0.004952115712325489
74,0.1506849315068493,0.0008670019074041963,0.0368793345127927
75,0.15384615384615383,0.003676977320119335,0.024408054836965957
76,0.06638566912539515,0.00036013925384482,0.0020606979128208348
77,0.11380400421496312,0.0022008509957183444,0.013845072028218181
78,0.06322444678609061,0.0008847865619150516,0.011599649104181877
79,0.08956796628029504,0.0011893487704134488,0.010562953021150139
80,0.030558482613277132,4.001547264942444e-05,0.002599547746995781
81,0.05795574288724973,0.000231200508641119,0.007444491212289313
82,0.09378292939936775,0.0022497587956231964,0.01398725220203587
83,0.03371970495258166,0.00024231591771040357,0.002840998212548517
84,0.030558482613277132,0.0001156002543205595,0.003561050021389118
85,0.06954689146469968,0.002436497667987177,0.007533981780371035
86,0.026343519494204423,6.446937260185049e-05,0.001161608623045199
87,0.14014752370916753,0.001902958032661518,0.030384141025388726
88,0.09167544783983139,0.000873671152845767,0.006556707516414173
89,0.07797681770284509,0.0007158323440619261,0.008339330900293178
90,0.0874604847207587,0.0012226949976213025,0.011347759195234288
91,0.09799789251844046,0.0021986279139044876,0.012531113729772345
92,0.0874604847207587,0.001776242369271674,0.00613977402766388
93,0.04214963119072708,0.00017340038148083925,0.003197242493228241
94,0.10326659641728134,0.0016739806058342559,0.011344643084906765
95,0.13066385669125394,0.0014494493426347077,0.02268916500193142
96,0.16754478398314013,0.0050308341447581955,0.0290152683381694
97,0.08640674394099052,0.0007914171257330612,0.010950395529532406
98,0.10853530031612223,0.002256428041064767,0.008301560257762517
99,0.12855637513171758,0.002056350677817645,0.02606087628925969
100,0.14963119072708111,0.0009892714071663266,0.036514571516421915
